"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","sku","rangos"
"2017-08-24","televisores","ripley","LG","SMART TV OLED 4K 65'' OLED65B7P",12999,8499,"65B7P","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV OLED 4K 65'' OLED65E7P",17999,10999,"65E7P","> S/.4,500"
"2017-08-24","televisores","ripley","AOC","SMART TV 49'' FHD LE49D5542",NA,1499,"49D5542","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 49'' 49UH6500",2999,1699,"UH6500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","AOC","TV 32'' HD LE32M3370",NA,699,"32M3370","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 75'' 75MU6100",13999,10999,"MU6100","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 65'' CURVO 65MU7500",9999,8999,"MU7500","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55'' CURVO 55MU6500",4999,3299,"MU6500","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55'' 55MU6400",4599,2999,"MU6400","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55'' 55MU6100",3799,2599,"MU6100","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 65'' 65SJ9500",12999,6499,"SJ9500","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 55'' 55SJ8000",8199,4999,"SJ8000","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 65'' 65SJ8000",7699,5999,"SJ8000","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 65'' 65UJ6510",6299,4999,"UJ6510","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 75'' 75MU7000",18599,9999,"MU7000","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55'' CURVO 55MU7500",6599,5499,"MU7500","> S/.4,500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 55'' XBR-55X805E",4999,2999,"55X805","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 65'' XBR-65X905E",9999,6499,"65X905","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 86'' 86SJ9570",24999,19999,"SJ9570","> S/.4,500"
"2017-08-24","televisores","ripley","LG","TV FHD 43'' 43LJ5000",1499,1299,"LJ5000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 70 70UH6350",11999,6499,"UH6350","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV SUHD 65 CURVO 65KS7500",13599,7999,"KS7500","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV SUHD 55<U+0094> CURVO 55KS7500",7599,5299,"KS7500","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV FHD 40ù CURVO 40K6500",2199,1499,"40K6500","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 50 50UH6300",3499,1799,"UH6300","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Haier","TV FHD 50'' LE50B8000",1999,999,"50B8000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 65 XBR-65X755D",6999,4699,"65X755","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","TV HD 32ù 32J4000",999,899,"32J4000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV LED ULTRA HD 65'' XBR-65X855D",9999,4899,"65X855","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV SUHD 55'' CURVO 55KS9000",10999,5299,"KS9000","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV FHD 40ù 40J5500",1999,1399,"40J5500","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 49'' 49MU7000",4999,2999,"MU7000","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 75'' 75UJ6580",11999,8999,"UJ6580","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 65'' 65UJ6300",5999,4599,"UJ6300","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 65'' CURVO 65MU6500",8599,5999,"MU6500","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 65'' 65MU6100",6599,4999,"MU6100","> S/.4,500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 49'' XBR-49X805E",3799,2899,"49X805","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 55'' XBR-55X905E",6499,3799,"55X905","S/.3500 - S/.4500"
"2017-08-24","televisores","ripley","LG","SMART TV 43'' UHD 43UH6030",2199,1599,"UH6030","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 85 XBR-85X855D",24999,16999,"85X855","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV OLED 4K 55 OLED55B6P",11999,8399,"55B6P","> S/.4,500"
"2017-08-24","televisores","ripley","LG","TV HD 24'' MT48AF",449,299,"MT48AF","< S/.500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 55 XBR-55X705D",5999,4499,"55X705","S/.3500 - S/.4500"
"2017-08-24","televisores","ripley","LG","TV FHD 43 LH5000",1499,899,"LH5000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV LED HD 32'' KDL-32W605D",1199,1099,"32W605","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV LED FULL HD 40'' KDL-40W655D",1699,1399,"40W655","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV LED ULTRA HD 55'' XBR-55X855D",6499,5499,"55X855","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV SUHD 60 60KS7000",7999,5299,"KS7000","> S/.4,500"
"2017-08-24","televisores","ripley","Samsung","SMART TV UHD 55 CURVO 55KU6300",4599,2599,"KU6300","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","Sony","TV HD 32<U+0094> 32R305C",1199,799,"32R305","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 65 65UH6500",7999,1999,"UH6500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 49''<U+0094> 49LH5700",2399,1499,"LH5700","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 43'' 43LH5700",1899,1299,"LH5700","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 60ù 60UH6500",6999,3499,"UH6500","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 58ù 58UH6300",3599,3499,"UH6300","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV SUPER UHD 55<U+0094> 3D 55UH8500",5999,5599,"UH8500","> S/.4,500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 55<U+0094> 55UH6500",4299,3199,"UH6500","S/.2500 - S/.3500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 49 49LH6000",2599,1499,"LH6000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","LG","SMART TV FHD 43ù 43LH6000",2099,1249,"LH6000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","AOC","SMART TV 43'' FHD LE43D5542",NA,1299,"43D5542","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","AOC","SMART TV FHD 55'' LE55D5542",NA,1899,"55D5542","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","AOC","SMART TV FHD 43'' LE43S5970",NA,1299,"43S5970","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","AOC","SMART TV FHD 49'' LE49S5970",NA,1499,"49S5970","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","AOC","SMART TV HD 32'' LE32S5970",NA,799,"32S5970","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","TV HD 24ù LE24B8000",499,399,"24B8000","< S/.500"
"2017-08-24","televisores","ripley","Haier","SMART TV HD 32 B8500",999,699,"SMART TV HD 32 B8500","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","TV FHD 40ù LE40B8000",1099,449,"40B8000","< S/.500"
"2017-08-24","televisores","ripley","Haier","TV FHD 42'' LE42B9000",999,799,"42B9000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","SMART TV FHD 42 LE42B8500DA",1499,999,"42B8500","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","TV FHD 48'' LE48M600",1499,899,"48M600","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","SMART TV FHD 50ù LE50K5000N",1799,1299,"50K5000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","TV FHD 55ù LE55B8000",1999,1499,"55B8000","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Haier","SMART TV FHD 55'' LE55B8500DA",NA,1999,"55B8500","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","Panasonic","TV FHD 40 D400",1699,1299,"TV FHD 40 D400","S/.500 - S/.1500"
"2017-08-24","televisores","ripley","Sony","SMART TV UHD 75 XBR-75X945E",17999,14999,"75X945","> S/.4,500"
"2017-08-24","televisores","ripley","AOC","TV UHD 55 LE55U7970",NA,2499,"55U7970","S/.1500 - S/.2500"
"2017-08-24","televisores","ripley","AOC","TV UHD 65 LE65U7970",NA,3599,"65U7970","S/.3500 - S/.4500"
"2017-08-24","televisores","ripley","Samsung","MONITOR TV 24 E310",599,499,"MONITOR TV 24 E310","< S/.500"
"2017-08-24","televisores","ripley","LG","SMART TV UHD 60 UJ6300",4299,3699,"UJ6300","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 310 15.6'' CORE i3 1TB 4GB - PLATEADO
                   ",2199,1499,"LAPTOP 310 15.6'' CORE i3 1TB 4GB - PLATEADO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BS010LA 15.6'' INTEL CORE I3 1TB 4GB",1998,1499,"BS010","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Acer","LAPTOP ASPIRE ES1-732 17.3'' CELERON 1TB 4GB - NEGRO
                   ",1499,1099,"LAPTOP ASPIRE ES1-732 17.3'' CELERON 1TB 4GB - NEGRO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BW015LA 15.6'' AMD A9 1TB 4GB",1899,1399,"BW015","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 100S 11.6'' INTEL ATOM 32GB 2GB - AZUL
                   ",999,699,"LAPTOP 100S 11.6'' INTEL ATOM 32GB 2GB - AZUL
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 2 EN 1 MIIX 310 10.1'' INTEL ATOM 32GB 2GB - PLATEADO
                   ",999,799,"LAPTOP 2 EN 1 MIIX 310 10.1'' INTEL ATOM 32GB 2GB - PLATEADO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Advance","LAPTOP NV6646 14'' INTEL ATOM 32GB 2GB BLANCO + DISCO DURO EXTE",999,699,"NV6646","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 2 EN 1 YOGA 500 14'' CORE i3 500GB 4GB - BLANCO
                   ",2199,1799,"LAPTOP 2 EN 1 YOGA 500 14'' CORE i3 500GB 4GB - BLANCO
                   ‚<U+0080>¶","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP VIVO BOOK FLIP TP301UA-DW066T 13.3 CORE I3 4G 500GB - NEGRO
                   ",2099,1699,"DW066","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 510 15.6'' CORE i5 1TB 12GB",3999,3199,"LAPTOP 510 15.6'' CORE i5 1TB 12GB","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 300 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ",1299,1099,"LAPTOP 300 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 510 15.6'' CORE i5 1TB 8GB - METAL",2999,2699,"LAPTOP 510 15.6'' CORE i5 1TB 8GB - METAL","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 300 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ",1299,1099,"LAPTOP 300 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP X541SA-XX038T 15.6'' INTEL CELERON 500GB 4GB - CHOCOLATE NEGRO
                   ",1199,999,"XX038","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 310 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ",1299,1099,"LAPTOP 310 14'' INTEL CELERON 500GB 4GB - PLATEADO
                   ‚<U+0080>¶","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Acer","NOTEBOOK 2 EN 1 SP714-51-M6HB 14 CORE I7 256GB 8GB - NEGRO
                   ",NA,5099,"SP714","> S/.4,500"
"2017-08-24","cÛmputo","ripley","Acer","LAPTOP ASPIRE E5-774-546B 17.3'' CORE i5 1TB 4GB - NEGRO
                   ",2199,1999,"LAPTOP ASPIRE E5-774-546B 17.3'' CORE i5 1TB 4GB - NEGRO
                   ‚<U+0080>¶","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP GL553VD-DM086T 15.6 CORE I5 1TB 12GB - NEGRO
                   ",4599,3799,"DM086","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BR002LA 15.6'' INTEL CORE I3 500GB 4GB",NA,1999,"BR002","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BS029LA 15.6'' INTEL CORE I5 1TB 4GB",NA,1899,"BS029","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BW009LA 15.6 AMD A10 1TB 8GB - PLATEADO",NA,1799,"BW009","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP PAVILION 2 EN 1 X360 13-U001LA 13.3 INTEL CORE i3 4GB 500GB - PLATED",NA,NA,"LAPTOP PAVILION 2 EN 1 X360 13-U001LA 13.3 INTEL CORE i3 4GB 500GB - PLATED‚<U+0080>¶",NA
"2017-08-24","cÛmputo","ripley","LG","NOTEBOOK GRAM 15.6 CORE I5 256GB 8GB - DORADO",NA,4699,"NOTEBOOK GRAM 15.6 CORE I5 256GB 8GB - DORADO","> S/.4,500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP G752VT-GC091T 17.3 CORE I7 16GB 1TB - GRIS",7299,6199,"GC091","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GE62 15.6'' CORE i7 1TB 16GB - NEGRO",NA,5799,"LAPTOP GE62 15.6'' CORE i7 1TB 16GB - NEGRO","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GL62 6QE 15.6'' CORE i5 1TB 8GB - NEGRO",NA,3699,"LAPTOP GL62 6QE 15.6'' CORE i5 1TB 8GB - NEGRO","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","HUAWEI","MATEBOOK 12'' 128GB 4GB - GRIS",3699,2799,"MATEBOOK 12'' 128GB 4GB - GRIS","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","DELL","LAPTOP INSPIRON 15-5000 15.6'' CORE i7 1TB 8GB - PLATEADO
                   ",NA,3299,"LAPTOP INSPIRON 15-5000 15.6'' CORE i7 1TB 8GB - PLATEADO
                   ‚<U+0080>¶","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 110 15.6'' AMD A8 1TB 8GB - NEGRO",1599,1399,"LAPTOP 110 15.6'' AMD A8 1TB 8GB - NEGRO","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP Y700 17.3'' CORE i7 1TB+128GB 16GB - NEGRO
                   ",5999,5699,"LAPTOP Y700 17.3'' CORE i7 1TB+128GB 16GB - NEGRO
                   ‚<U+0080>¶","> S/.4,500"
"2017-08-24","cÛmputo","ripley","Lenovo","NOTEBOOK YOGA 900 13.3 CORE I5 256GB 4GB - DORADO
                   ",4599,3999,"NOTEBOOK YOGA 900 13.3 CORE I5 256GB 4GB - DORADO
                   ‚<U+0080>¶","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP T303UA-GN047T 12.5 CORE I7 8GB 512GB - GRIS",NA,5499,"GN047","> S/.4,500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 510S 15.6'' CORE i5 1TB 12GB - BLANCO",3299,2999,"LAPTOP 510S 15.6'' CORE i5 1TB 12GB - BLANCO","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","Lenovo","LAPTOP 510 15.6'' CORE i5 1TB 8GB - METAL",2999,2699,"LAPTOP 510 15.6'' CORE i5 1TB 8GB - METAL","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","Acer","LAPTOP ASPIRE E5-575-74F1 15.6'' CORE i7 1TB 4GB - NEGRO
                   ",2799,2699,"LAPTOP ASPIRE E5-575-74F1 15.6'' CORE i7 1TB 4GB - NEGRO
                   ‚<U+0080>¶","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","DELL","LAPTOP INSPIRON 15-5000 15.6'' CORE i5 1TB 8GB - PLATEADO
                   ",NA,2799,"LAPTOP INSPIRON 15-5000 15.6'' CORE i5 1TB 8GB - PLATEADO
                   ‚<U+0080>¶","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP GL553VE-DM028T 15.6'' CORE I7 1TB 12GB - NEGRO
                   ",NA,4699,"DM028","> S/.4,500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP X541UJ-GO060T 15.6'' CORE i5 500GB 4GB - PLATEADO
                   ",NA,1999,"GO060","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP X541UA-GO890T 15.6'' CORE I3 1TB 8GB - CHOCOLATE
                   ",NA,1699,"GO890","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP TP501UA-CJ104T 15.6'' CORE i3 500GB 4GB - GRIS
                   ",NA,1999,"CJ104","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP UX360UAK-C4197T 13.3'' CORE i5 256GB 8GB - GRIS
                   ",NA,3699,"UX360","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","ASUS","LAPTOP UX310UQ-GL246T 13.3'' CORE i7 1TB 8GB - GRIS
                   ",NA,3499,"GL246","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP SPECTRE 13-V101 13.3'' CORE i5 256GB 8GB - PLATA CENIZA
                   ",5099,4999,"LAPTOP SPECTRE 13-V101 13.3'' CORE i5 256GB 8GB - PLATA CENIZA
                   ‚<U+0080>¶","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GT72VR 7RE DOMINATOR PRO 17.3 CORE I7 1TB 16GB - NEGRO
                   ",NA,9499,"GT72VR","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GS63 7RE STEALTH PRO 15.6 CORE I7 1TB 16GB - NEGRO
                   ",NA,6999,"LAPTOP GS63 7RE STEALTH PRO 15.6 CORE I7 1TB 16GB - NEGRO
                   ‚<U+0080>¶","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GE62VR 7RF APACHE PRO CAMO 15.6 CORE I7 1TB 16GB - MULTICOL",NA,7399,"GE62VR","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GP72 7REX LEOPARD PRO 17.3 CORE I7 1TB 16GB - NEGRO
                   ",NA,5599,"LAPTOP GP72 7REX LEOPARD PRO 17.3 CORE I7 1TB 16GB - NEGRO
                   ‚<U+0080>¶","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GP62 7REX LEOPARD PRO 15.6 CORE I7 1TB 16GB - NEGRO
                   ",NA,5499,"LAPTOP GP62 7REX LEOPARD PRO 15.6 CORE I7 1TB 16GB - NEGRO
                   ‚<U+0080>¶","> S/.4,500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GL62 7RDX  15.6 CORE I7 1TB 8GB - NEGRO",NA,4499,"LAPTOP GL62 7RDX  15.6 CORE I7 1TB 8GB - NEGRO","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","MSI","LAPTOP GL72 7RDX  17.3 CORE I7 1TB 8GB - NEGRO",NA,4699,"LAPTOP GL72 7RDX  17.3 CORE I7 1TB 8GB - NEGRO","> S/.4,500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 13-AC003LA 13.3 INTEL CORE I7 256GB 8GB - PLOMO
                   ",NA,5299,"AC003","> S/.4,500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 14-BA003LA 14 INTEL CORE I5 500GB 6GB - PLATEADO
                   ",NA,2599,"BA003","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 17-AN001LA 17.3 CORE I7 1TB 12GB - NEGRO",NA,4999,"AN001","> S/.4,500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-CE002LA 15.6 CORE I7 1TB 12GB - NEGRO",NA,4699,"CE002","> S/.4,500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-CE001LA 15.6 CORE I5 1TB 8GB - NEGRO",NA,3999,"CE001","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-CC507LA 15.6 CORE I7 1TB 16GB - DORADO",NA,3899,"CC507","S/.3500 - S/.4500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BS021LA 15.6'' INTEL CORE I7 1TB 12GB",NA,3099,"BS021","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-CC502LA 15.6 CORE I5 1TB 12GB - PLOMO",NA,2699,"CC502","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-CD005LA 15.6 AMD A12 1TB 12GB - AZUL",NA,2399,"CD005","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-BS012 15.6 INTEL CORE I3 1TB 8GB - PLATEADO
                   ",NA,1899,"BS012","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","Advance","LAPTOP NV9901 14'' INTEL CHERRY TRAIL X5-Z8350 32GB 4GB
                   ",NA,999,"NV9901","S/.500 - S/.1500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-AX201LA 15.6 CORE i5 1TB 8GB - NEGRO",3699,3299,"AX201","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-AF110LA-A8 15.6'' QUAD CORE 1TB 6GB - BLANCO
                   ",1899,1699,"AF110","S/.1500 - S/.2500"
"2017-08-24","cÛmputo","ripley","HP","LAPTOP 15-AX001LA 15.6'' CORE i5 1TB 8GB - NEGRO",3999,3199,"AX001","S/.2500 - S/.3500"
"2017-08-24","cÛmputo","ripley","HP","NOTEBOOK 15-AY013LA 15.6 CORE I7 1 TB  4 GB - PLATEADO
                   ",2799,2399,"AY013","S/.1500 - S/.2500"
